ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|usrn|usrn_mi|distance|address_detail|street_name|locality|geographic_county|postcode|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
18315898|Gospel Hall|06340459|310797|167754|1||osgb1000026932992|3|41500755|3|14.8||||South Glamorgan|CF62|Bro Morgannwg - the Vale of Glamorgan||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
18315899|Gospel Hall|06340459|312759|168961|1|64037067|osgb1000002706079933|2|41501276|3|14.4||||South Glamorgan|CF63|Bro Morgannwg - the Vale of Glamorgan||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
18315813|Buttrills Gospel Hall|06340459|311536|168829|1||osgb5000005207978794|1|41500159|3|27||||South Glamorgan|CF62|Bro Morgannwg - the Vale of Glamorgan||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
18315889|Kingdom Hall of Jehovah's Witnesses|06340459|312445|169749|1|64104119|osgb1000026977410|2|41502841|3|18.3||||South Glamorgan|CF63|Bro Morgannwg - the Vale of Glamorgan||www.jw.org/en/|Jehovah's Witnesses|Religion|Jehovah's Witnesses (Christian)|Ordnance Survey|2025-03-01
17598095|Lighthouse (Occulting, White)|06330407|312524|166543|1||osgb1000002487406674|5|41501159|3|255.9||||South Glamorgan|CF62|Bro Morgannwg - the Vale of Glamorgan||||||Ordnance Survey|2025-03-01
18315851|War Memorial|03170245|311414|168048|1||osgb1000026954784|3|41500880|3|24.4||||South Glamorgan|CF62|Bro Morgannwg - the Vale of Glamorgan||||||Ordnance Survey|2025-03-01
18315890|War Memorial|03170245|312189|168452|2||Not Assigned|0|41501042|3|7.7||||South Glamorgan|CF63|Bro Morgannwg - the Vale of Glamorgan||||||Ordnance Survey|2025-03-01
18763150|Tumulus (Site Of)|03170240|311109|165961|2||Not Assigned|0|41501752|3|449.3||||South Glamorgan|CF62|Bro Morgannwg - the Vale of Glamorgan||||||Ordnance Survey|2025-03-01
18850475|Tumulus (Site Of)|03170240|311079|165987|2||Not Assigned|0|41501752|3|415.5||||South Glamorgan|CF62|Bro Morgannwg - the Vale of Glamorgan||||||Ordnance Survey|2025-03-01
18763354|Tumulus|03170240|312541|170252|2||Not Assigned|0|41501534|3|3.3||||South Glamorgan|CF63|Bro Morgannwg - the Vale of Glamorgan||||||Ordnance Survey|2025-03-01
