ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|usrn|usrn_mi|distance|address_detail|street_name|locality|geographic_county|postcode|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
20136246|The Salvation Army|06340459|328506|351071|1|10070381536|osgb1000034615058|5|46902948|3|20.7||||Clwyd|LL11|Wrecsam - Wrexham||www.salvationarmy.org.uk|The Salvation Army|Religion|Salvation Army (Christian)|Ordnance Survey|2025-03-01
20146130|Waterwheels|03170245|336514|356963|2||Not Assigned|0|46990111|3|53.3||||Clwyd|LL12|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18710674|Water Wheel|03170245|336472|357027|2||Not Assigned|0|46990111|3|14.7||||Clwyd|LL12|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18266093|War Memorial|03170245|329547|346272|1||osgb1000000260112669|3|46990107|3|16.6||||Clwyd|LL14|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18266182|War Memorial|03170245|329517|353976|1||osgb5000005222084750|1|46902997|3|34.6||||Clwyd|LL11|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18267138|War Memorial|03170245|330094|346361|1||osgb1000000259589496|3|46990107|3|6.9||||Clwyd|LL14|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18267140|War Memorial|03170245|337282|341815|1||osgb1000000259919088|5|46990089|3|7||||Clwyd|LL13|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18267165|War Memorial|03170245|333637|350637|1||osgb1000000235641837|2|46904079|3|21||||Clwyd|LL12|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18266217|War Memorial|03170245|326305|353665|1||osgb1000000234597677|3|46990211|3|8.8||||Clwyd|LL11|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18266279|War Memorial|03170245|325291|358064|1||osgb1000000234564766|5|46801943|3|12.3||||Clwyd|CH7|Sir y Fflint - Flintshire||||||Ordnance Survey|2025-03-01
18266305|War Memorial|03170245|326393|356534|1||osgb1000000234511874|13|46802600|3|5.1||||Clwyd|LL11|Sir y Fflint - Flintshire||||||Ordnance Survey|2025-03-01
18266342|War Memorial|03170245|328320|351033|1||osgb5000005122944056|2|46911466|3|31.9||||Clwyd|LL11|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18845663|Tumulus|03170240|330734|348112|2||Not Assigned|0|46900145|3|77||||Clwyd|LL14|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18267262|War Memorial|03170245|330597|357363|1||osgb1000000234892014|3|46803905|3|12.5||||Clwyd|LL12|Sir y Fflint - Flintshire||||||Ordnance Survey|2025-03-01
18267115|War Memorial|03170245|338829|345438|1||osgb1000000259958046|3|46903155|3|21.3||||Clwyd|LL13|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18267215|War Memorial|03170245|333080|355350|1|10096240985|osgb1000000235137877|5|46903780|3|16.8||||Clwyd|LL12|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
18394842|War Memorial|03170245|328056|345240|1||osgb1000000259454566|3|46902590|3|7.3||||Clwyd|LL14|Wrecsam - Wrexham||||||Ordnance Survey|2025-03-01
