ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|usrn|usrn_mi|distance|address_detail|street_name|locality|geographic_county|postcode|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
20136201|Manselton Gospel Hall|06340459|265296|195044|1|200001516042|osgb1000021912851|2|39101989|3|13.8||||West Glamorgan|SA5|Abertawe - Swansea||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
20136156|Gospel Hall|06340459|265256|196895|1|100101015417|osgb1000021915216|3|39107493|3|22.3||||West Glamorgan|SA5|Abertawe - Swansea||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
20136147|Gospel Hall|06340459|263446|195478|1|100101014861|osgb1000021876285|5|39100068|3|22.4||||West Glamorgan|SA5|Abertawe - Swansea||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
20136126|Ebenezer Gospel Hall|06340459|267580|193169|1|100100988985|osgb1000021939211|3|39102536|3|17.4||||West Glamorgan|SA1|Abertawe - Swansea||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
20136127|Ebenezer Gospel Hall|06340459|263813|194471|1|10011726221|osgb1000021872495|4|39104898|3|21.4||||West Glamorgan|SA1|Abertawe - Swansea||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
20136134|George Street Gospel Hall|06340459|264919|192919|1|10010031013|osgb1000021884732|4|39105124|3|12||||West Glamorgan|SA1|Abertawe - Swansea||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
20136150|Gospel Hall|06340459|259976|193424|1|100101006194|osgb1000021814007|5|39100748|3|22.4||||West Glamorgan|SA2|Abertawe - Swansea||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
20136153|Gospel Hall|06340459|259140|198983|1|10010048493|osgb1000021817529|5|39103954|3|6.6||||West Glamorgan|SA4|Abertawe - Swansea||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
20136206|Salem Gospel Hall|06340459|267295|198256|1|10010061367|osgb1000021944200|3|39101787|3|11.7||||West Glamorgan|SA6|Abertawe - Swansea||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
20136154|Gospel Hall|06340459|258034|198451|1|10010062261|osgb5000005190972886|1|39103730|3|12.2||||West Glamorgan|SA4|Abertawe - Swansea||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
20136243|The Salvation Army|06340459|264989|192625|1|10010024001|osgb1000021884504|7|39102120|3|13.6||||West Glamorgan|SA1|Abertawe - Swansea||www.salvationarmy.org.uk|The Salvation Army|Religion|Salvation Army (Christian)|Ordnance Survey|2025-03-01
20136242|The Salvation Army|06340459|266122|196019|1|10010063945|osgb1000021928593|6|39102167|3|17.9||||West Glamorgan|SA6|Abertawe - Swansea||www.salvationarmy.org.uk|The Salvation Army|Religion|Salvation Army (Christian)|Ordnance Survey|2025-03-01
18312640|War Memorial|03170245|261889|187906|1||osgb1000000334289445|4|39101738|3|19.7||||West Glamorgan|SA3|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312770|War Memorial|03170245|269660|197506|1||osgb1000000333731893|3|39100894|3|36.5||||West Glamorgan|SA7|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312730|War Memorial|03170245|261711|190413|1||osgb1000000333110998|2|39101660|3|24.8||||West Glamorgan|SA3|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312737|War Memorial|03170245|263749|192046|1||osgb1000000333230575|2|39107500|3|23.5||||West Glamorgan|SA2|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312738|War Memorial|03170245|263932|192123|1||osgb1000000333231833|2|39107500|3|24.4||||West Glamorgan|SA2|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312745|War Memorial|03170245|266454|198352|1||osgb1000000333631168|1|39107540|3|51.4||||West Glamorgan|SA6|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312755|War Memorial|03170245|263245|195485|1||osgb1000000333285348|2|39107482|3|10.6||||West Glamorgan|SA5|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312766|War Memorial|03170245|266971|198303|2||Not Assigned|0|39101977|3|9.6||||West Glamorgan|SA6|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312628|War Memorial|03170245|261640|187977|1||osgb1000000334289050|2|39100484|3|10.3||||West Glamorgan|SA3|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18399112|War Memorial|03170245|267594|193477|1||osgb1000000333640694|2|39102654|3|70.8||||West Glamorgan|SA1|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18399105|War Memorial|03170245|265302|196536|1||osgb1000000333510691|1|39101449|3|9.3||||West Glamorgan|SA5|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17581951|Fountain|03170245|266307|198301|2||Not Assigned|0|39101128|3|66.6||||West Glamorgan|SA6|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17581981|Fountain|03170245|267691|196581|2||Not Assigned|0|39107074|3|10.5||||West Glamorgan|SA7|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17582037|Fountain|03170245|264369|192243|2||Not Assigned|0|39101844|3|24.3||||West Glamorgan|SA1|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17582113|Fountain|03170245|263093|192093|2||Not Assigned|0|39106548|3|81.7||||West Glamorgan|SA2|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17581870|Fountain|03170245|263176|192108|2||Not Assigned|0|39106548|3|94.4||||West Glamorgan|SA2|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17581736|Lych Gate|03170245|260081|192712|1||osgb1000021829399|2|39107490|3|17.6||||West Glamorgan|SA2|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17582040|Lych Gate|03170245|264656|198921|1||osgb5000005126279132|1|39101286|3|10.1||||West Glamorgan|SA5|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17581863|Fountain|03170245|262910|192529|2||Not Assigned|0|39106548|3|125.8||||West Glamorgan|SA2|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17582544|Fountain|03170245|262829|191850|2||Not Assigned|0|39107557|3|78.4||||West Glamorgan|SA2|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17581740|Lych Gate|03170245|265543|192927|1||osgb1000021902088|3|39102266|3|13.1||||West Glamorgan|SA1|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17582089|Lych Gate|03170245|262768|192819|1||osgb1000000333161922|2|39101017|3|11.2||||West Glamorgan|SA2|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17762993|Lych Gate|03170245|260370|187904|1||osgb1000021822757|3|39100019|3|6.4||||West Glamorgan|SA3|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17581813|Fountain|03170245|261203|193617|2||Not Assigned|0|39104384|3|74||||West Glamorgan|SA2|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
17763055|Fountain|03170245|264260|192237|2||Not Assigned|0|39101068|3|9.3||||West Glamorgan|SA1|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312361|Roman Practice Work|03170240|259144|197321|2||Not Assigned|0|39100009|3|67.6||||West Glamorgan|SA4|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312649|Roman Practice Works|03170240|260785|197153|2||Not Assigned|0|39100021|3|64.9||||West Glamorgan|SA4|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312741|Bol Memorial|03170245|266094|193232|1||osgb1000042724369|6|39102071|3|19.3||||West Glamorgan|SA1|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18291218|Monument|03170245|268292|200054|1||osgb1000002065330655|13|39105378|3|84||||West Glamorgan|SA6|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18758659|Pillow Mounds|03190257|260602|191655|2||Not Assigned|0|39108479|3|712.2||||West Glamorgan|SA3|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312727|Monument|03170245|261047|197268|1||osgb5000005151780430|2|39100009|3|26.9||||West Glamorgan|SA5|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
18312758|Monument|03170245|264165|192253|1||osgb1000000333342295|2|39101013|3|62.5||||West Glamorgan|SA1|Abertawe - Swansea||||||Ordnance Survey|2025-03-01
122460864|Cash Machine (Paypoint Ltd)|02090141|267559|193402|1|100100394017|osgb1000021938363|4|39100691|2|15.8|99|Danygraig Road|Swansea|West Glamorgan|SA1 8NB|Abertawe - Swansea||||||VocaLink|2025-03-01
115406159|Cash Machine (Cardtronics)|02090141|262625.8|191910.2|1|100101056560|osgb1000021853868|20|39102203|1|103.5|Singleton Hospital|Sketty Lane|Sketty, Swansea|West Glamorgan|SA2 8QA|Abertawe - Swansea||||||VocaLink|2025-03-01
115405945|Cash Machine (Cardtronics)|02090141|265874.6|194354.8|1|10010030131|osgb1000021907997|3|39107254|1|10.3|23-24|Neath Road|Hafod, Swansea|West Glamorgan|SA1 2ES|Abertawe - Swansea||||||VocaLink|2025-03-01
21047337|Swansea Office|05290358|265800|192934|1|10091617313|osgb1000002065807668|2|39102597|1|15.2|The Citizens Advice Bureau the City Gates 50|Wind Street|Swansea|West Glamorgan|SA1 1EF|Abertawe - Swansea|08082787926|www.citizensadvice.org.uk||||National Association of Citizens Advice Bureaux|2025-03-01
115404474|Cash Machine (Cardtronics)|02090141|262908|194009|1|10010029228|osgb1000021859020|4|39100597|1|27.3|Broadway Petrol Filling Station|Cockett Road|Cockett, Swansea|West Glamorgan|SA2 0FA|Abertawe - Swansea||||||VocaLink|2025-03-01
113025519|Cash Machine (NoteMachine Ltd)|02090141|263591.8|193872|1|10011729213|osgb5000005118218624|2|39107520|1|19.5|132-134|Townhill Road|Cockett, Swansea|West Glamorgan|SA2 0UU|Abertawe - Swansea||||||VocaLink|2025-03-01
122460843|Cash Machine (Paypoint Ltd)|02090141|265230|193775|1|100100356039|osgb1000021904354|2|39100142|1|12|1|Berwick Terrace|Mount Pleasant, Swansea|West Glamorgan|SA1 6XT|Abertawe - Swansea||||||VocaLink|2025-03-01
115404931|Cash Machine (Cardtronics)|02090141|262148.7|199719.4|1|10010043920|osgb1000021861629|5|39104494|1|221.8|Moto Hospitality Ltd Swansea West Services||Penllergaer, Swansea|West Glamorgan|SA4 9GT|Abertawe - Swansea||||||VocaLink|2025-03-01
123706572|Cash Machine (Cardtronics)|02090141|266038|198676|1|100100379101|osgb1000021933099|4|39101957|1|18.2|4|Penrhiw Road|Morriston, Swansea|West Glamorgan|SA6 6BS|Abertawe - Swansea||||||VocaLink|2025-03-01
123706923|Cash Machine (Cardtronics)|02090141|261639|192691|1|100100344189|osgb1000021844831|4|39101889|1|26|Ck's Supermarket 4-8|Parkway|Sketty, Swansea|West Glamorgan|SA2 8JJ|Abertawe - Swansea||||||VocaLink|2025-03-01
123708008|Cash Machine (NoteMachine Ltd)|02090141|268134|195892|1|100101044430|osgb1000021951229|3|39100608|1|24.2|135-137|Colwyn Avenue|Winch Wen, Swansea|West Glamorgan|SA1 7EW|Abertawe - Swansea||||||VocaLink|2025-03-01
124441995|Cash Machine (Cardtronics)|02090141|265502|195698|1|100101015407|osgb1000021909902|7|39107449|1|22.2|460|Llangyfelach Road|Brynhyfryd, Swansea|West Glamorgan|SA5 9LR|Abertawe - Swansea||||||VocaLink|2025-03-01
124443056|Cash Machine (NoteMachine Ltd)|02090141|266904|197827|1|100101016793|osgb1000021929974|4|39102607|1|13.4|86|Woodfield Street|Morriston, Swansea|West Glamorgan|SA6 8BA|Abertawe - Swansea||||||VocaLink|2025-03-01
123706780|Cash Machine (Cardtronics)|02090141|269192|201268|1|200002959610|osgb1000020668938|6|39101305|1|80.3|77|High Street|Clydach, Swansea|West Glamorgan|SA6 5LJ|Abertawe - Swansea||||||VocaLink|2025-03-01
123708077|Cash Machine (NoteMachine Ltd)|02090141|265889|192852|1|10091616458|osgb1000002065714439|3|39101442|3|14.7|Wind Street||Swansea|West Glamorgan|SA1 1EF|Abertawe - Swansea||||||VocaLink|2025-03-01
123708085|Cash Machine (NoteMachine Ltd)|02090141|264976|195232|1|100100367354|osgb5000005126452250|1|39101640|1|15.5|74|Manselton Road|Manselton, Swansea|West Glamorgan|SA5 8PJ|Abertawe - Swansea||||||VocaLink|2025-03-01
123707821|Cash Machine (NoteMachine Ltd)|02090141|265667|193291|1||osgb1000021904971|4|39101306|2|23.6|234|High Street|City Centre, Swansea|West Glamorgan|SA1 1NZ|Abertawe - Swansea||||||VocaLink|2025-03-01
123706924|Cash Machine (Cardtronics)|02090141|260898|195234|1|10010059896|osgb1000021832506|6|39102312|1|36.6|39|Swansea Road|Waunarlwydd, Swansea|West Glamorgan|SA5 4TQ|Abertawe - Swansea||||||VocaLink|2025-03-01
113025018|Cash Machine (Cardtronics)|02090141|269131|201350|1|10010030982|osgb1000020667686|6|39101305|1|18.3||High Street|Clydach, Swansea|West Glamorgan|SA6 5LN|Abertawe - Swansea||||||VocaLink|2025-03-01
124442564|Cash Machine (Barclays Bank plc)|02090141|265431|193035|1|100101045166|osgb1000021905262|6|39101843|1|22|262|Oxford Street|City Centre, Swansea|West Glamorgan|SA1 3BR|Abertawe - Swansea||||||VocaLink|2025-03-01
115405991|Cash Machine (Cardtronics)|02090141|261884|190464|1|100101008195|osgb1000021842972|2|39107497|2|27.1|Mumbles Road||Swansea|West Glamorgan|SA3 5AS|Abertawe - Swansea||||||VocaLink|2025-03-01
115404019|Cash Machine (Cardtronics)|02090141|265193|192933|1|100100986804|osgb1000021902493|3|39101843|1|17.8|221|Oxford Street|City Centre, Swansea|West Glamorgan|SA1 3BQ|Abertawe - Swansea||||||VocaLink|2025-03-01
124441500|Cash Machine (Cardtronics)|02090141|265640.2|192381.7|1|10010063292|osgb1000002065887723|2|39102401|1|13.4|Unit B Meridian Wharf|Trawler Road|Maritime Quarter, Swansea|West Glamorgan|SA1 1LB|Abertawe - Swansea||||||VocaLink|2025-03-01
113024865|Cash Machine (Cardtronics)|02090141|265637|193280|1||osgb1000000333432975|10|39101306|2|6.1|High Street||Swansea|West Glamorgan|SA1 1LE|Abertawe - Swansea||||||VocaLink|2025-03-01
124442387|Cash Machine (Paypoint Ltd)|02090141|265062|195408|1|100100367210|osgb1000021913622|4|39101634|1|15|71|Manor Road|Manselton, Swansea|West Glamorgan|SA5 9PD|Abertawe - Swansea||||||VocaLink|2025-03-01
123707019|Cash Machine (Lloyds TSB Bank plc)|02090141|265469|193013|1|100100986708|osgb1000021905243|7|39101843|1|11.6|802|Oxford Street|City Centre, Swansea|West Glamorgan|SA1 3AF|Abertawe - Swansea||||||VocaLink|2025-03-01
129547076|Cash Machine (Royal Bank of Scotland)|02090141|261491|188178|1||osgb1000021840477|8|39107451|2|16.3|Newton Road|Swansea|Swansea|West Glamorgan|SA3|Abertawe - Swansea||||||VocaLink|2025-03-01
128189127|Cash Machine (Royal Bank of Scotland)|02090141|270148|192695|1|10023950886|osgb5000005159226788|1|47717762|2|272.7|University Campus|Fabian Way|Swansea|West Glamorgan|SA10|Castell-nedd Port Talbot - Neath Port Talbot||||||VocaLink|2025-03-01
128188889|Cash Machine (NoteMachine Ltd)|02090141|259630|198518|1|10010030781|osgb1000021818302|5|39101014|1|22.2|Southview Garage|Gorseinon Road|Gorseinon, Swansea|West Glamorgan|SA4 4DQ|Abertawe - Swansea||||||VocaLink|2025-03-01
128189577|Cash Machine (Cardtronics)|02090141|269213.6|197525.6|1|10010030496|osgb1000021957997|4|39107583|1|29.2|Llansamlet Service Station 117-129|Peniel Green Road|Peniel Green, Swansea|West Glamorgan|SA7 9BA|Abertawe - Swansea||||||VocaLink|2025-03-01
127489384|Cash Machine (Paypoint Ltd)|02090141|266000|194778|1|10011726552|osgb1000021906188|8|39107254|1|17.9|1315|Neath Road|Hafod, Swansea|West Glamorgan|SA1 2LF|Abertawe - Swansea||||||VocaLink|2025-03-01
131214463|Cash Machine (NoteMachine Ltd)|02090141|262854|195996|1|100101013448|osgb1000002065493286|7|39107482|1|22.2|1093|Carmarthen Road|Fforestfach, Swansea|West Glamorgan|SA5 4AN|Abertawe - Swansea||||||VocaLink|2025-03-01
127488545|Cash Machine (National Westminster Bank/NatWest)|02090141|266989.6|198175.6|1|100101046147|osgb1000021933930|2|39102607|1|16|139a|Woodfield Street|Morriston, Swansea|West Glamorgan|SA6 8AL|Abertawe - Swansea||||||VocaLink|2025-03-01
127487503|Cash Machine (Omnicash Ltd)|02090141|268916.8|201914.1|1|100100411449|osgb1000020661154|6|39101568|1|15.8|60|Lone Road|Clydach, Swansea|West Glamorgan|SA6 5HU|Abertawe - Swansea||||||VocaLink|2025-03-01
131213595|Cash Machine (Cardtronics)|02090141|264573.3|192616.7|1|10010060661|osgb1000021883788|3|39100280|1|14.1|Flat 1 97|Brynymor Road|Brynmill, Swansea|West Glamorgan|SA1 4JG|Abertawe - Swansea||||||VocaLink|2025-03-01
127487918|Cash Machine (Santander)|02090141|265381|192915|1|100100987285|osgb1000021902476|4|39102447|1|13.5|1|Union Street|City Centre, Swansea|West Glamorgan|SA1 3EE|Abertawe - Swansea||||||VocaLink|2025-03-01
126728781|Cash Machine (NoteMachine Ltd)|02090141|264493.9|192635.9|1|10010040052|osgb1000021885075|3|39100280|1|14.8|82|Brynymor Road|Brynmill, Swansea|West Glamorgan|SA1 4JE|Abertawe - Swansea||||||VocaLink|2025-03-01
125417514|Cash Machine (Cardtronics)|02090141|260342|192943|1|200001838925|osgb1000021829121|4|39107490|1|26.6|434|Gower Road|Killay, Swansea|West Glamorgan|SA2 7AJ|Abertawe - Swansea||||||VocaLink|2025-03-01
127488120|Cash Machine (Cardtronics)|02090141|265767|195533|1|100100371488|osgb1000021910596|3|39102538|1|8.7|3|Wern Road|Landore, Swansea|West Glamorgan|SA1 2PA|Abertawe - Swansea||||||VocaLink|2025-03-01
126728369|Cash Machine (Cardtronics)|02090141|262231.5|193405.7|1|100100340514|osgb5000005157767693|1|39100407|1|12.3|87|Carnglas Road|Sketty, Swansea|West Glamorgan|SA2 9BL|Abertawe - Swansea||||||VocaLink|2025-03-01
163783615|Cash Machine (Royal Bank of Scotland)|02090141|265513|192675|1|10010025242|osgb1000041299514|8|39101844|2|64.8|Oystermouth Road||Swansea|West Glamorgan|SA1 3RA|Abertawe - Swansea||||||VocaLink|2025-03-01
163782691|Cash Machine (Barclays Bank plc)|02090141|267784.6|197914.6|1|10091613250|osgb5000005151028419|1|39107049|1|12.7|Unit 2, Heron Way|Morriston|Swansea|West Glamorgan|SA6 8PS|Abertawe - Swansea||||||VocaLink|2025-03-01
161536941|Cash Machine (YCASH)|02090141|266915.5|197706.1|1|100101046131|osgb1000002065697165|3|39102607|1|11.4|66-67|Woodfield Street|Morriston, Swansea|West Glamorgan|SA6 8BQ|Abertawe - Swansea||||||VocaLink|2025-03-01
161536977|Cash Machine (YCASH)|02090141|264611|194081|1|10010030027|osgb1000021892254|3|39101664|1|19.1|Flat Above 3|Mayhill Road|Mayhill, Swansea|West Glamorgan|SA1 6SZ|Abertawe - Swansea||||||VocaLink|2025-03-01
134342443|Cash Machine (NoteMachine Ltd)|02090141|266831.4|199146.5|1|100100380787|osgb1000021935961|4|39100467|1|16.9|178|Chemical Road|Morriston, Swansea|West Glamorgan|SA6 6JQ|Abertawe - Swansea||||||VocaLink|2025-03-01
161536468|Cash Machine (YCASH)|02090141|265687.9|197675.2|1|10010061691|osgb1000021916985|4|39102218|1|21||Solva Road|Clase, Swansea|West Glamorgan|SA6 7NX|Abertawe - Swansea||||||VocaLink|2025-03-01
163783212|Cash Machine (Nationwide Building Society)|02090141|265575|193048|1|100100986704|osgb1000021905190|4|39101843|1|19.7|1a|Oxford Street|City Centre, Swansea|West Glamorgan|SA1 3AE|Abertawe - Swansea||||||VocaLink|2025-03-01
131215284|Cash Machine (Cardtronics)|02090141|265275.6|197147.8|1|100101015137|osgb1000021918753|5|39101449|1|19.3|855|Llangyfelach Road|Treboeth, Swansea|West Glamorgan|SA5 9AU|Abertawe - Swansea||||||VocaLink|2025-03-01
131215301|Cash Machine (National Westminster Bank/NatWest)|02090141|265370|192972.7|1|200002954544|osgb1000021902484|4|39101843|1|13.6|14-16|Oxford Street|City Centre, Swansea|West Glamorgan|SA1 3AG|Abertawe - Swansea||||||VocaLink|2025-03-01
131215073|Cash Machine (Sainsbury's Bank)|02090141|263993|192856|1||osgb1000021866431|7|39102449|2|9.6|41-43|Uplands Crescent|Uplands, Swansea|West Glamorgan|SA2 0NP|Abertawe - Swansea||||||VocaLink|2025-03-01
131215388|Cash Machine (DC Payments)|02090141|259787.8|193593.3|1|10010021421|osgb1000021812192|3|39100711|1|14.4|1-3|Derlwyn|Dunvant, Swansea|West Glamorgan|SA2 7QA|Abertawe - Swansea||||||VocaLink|2025-03-01
133846814|Cash Machine (Cardtronics)|02090141|261659.6|188085.6|1|10091615290|osgb1000021840297|8|39101738|1|15.6|145-147|Mumbles Road|Mumbles, Swansea|West Glamorgan|SA3 4DN|Abertawe - Swansea||||||VocaLink|2025-03-01
133846870|Cash Machine (Cardtronics)|02090141|258858|196295|1|100100406494|osgb1000021799611|8|39102300|1|16.7|29|Sterry Road|Gowerton, Swansea|West Glamorgan|SA4 3BS|Abertawe - Swansea||||||VocaLink|2025-03-01
133847513|Cash Machine (NoteMachine Ltd)|02090141|259333|198618|1|10010021642|osgb1000021817794|4|39101303|1|32.4|Unit 1 Gorseinon Shopping Park|High Street|Gorseinon, Swansea|West Glamorgan|SA4 4DJ|Abertawe - Swansea||||||VocaLink|2025-03-01
133847196|Cash Machine (Paypoint Ltd)|02090141|267035|195173|1|100100393262|osgb1000021941765|3|39101968|1|16.2|75|Pentrechwyth Road|Pentrechwyth, Swansea|West Glamorgan|SA1 7AN|Abertawe - Swansea||||||VocaLink|2025-03-01
131215208|Cash Machine (Sainsbury's Bank)|02090141|266122|193025|1|100100989002|osgb1000021927117|13|39102071|1|133.6|Sainsbury's|Quay Parade|City Centre, Swansea|West Glamorgan|SA1 8JA|Abertawe - Swansea||||||VocaLink|2025-03-01
167896591|Cash Machine (Post Office Ltd)|02090141|264293|195718|1||osgb1000021893979|5|39100613|2|19.3|30|Conway Road|Penlan, Swansea|West Glamorgan|SA5 7BD|Abertawe - Swansea||||||VocaLink|2025-03-01
167899325|Cash Machine (TSB)|02090141|265357|193005|1|100100986825|osgb1000021905311|8|39102447|1|11.4|11|Union Street|City Centre, Swansea|West Glamorgan|SA1 3EF|Abertawe - Swansea||||||VocaLink|2025-03-01
160008874|Cash Machine (YCASH)|02090141|264980|193451|1|100100358767|osgb1000021889009|4|39101789|1|15.1|49|Norfolk Street|Mount Pleasant, Swansea|West Glamorgan|SA1 6JQ|Abertawe - Swansea||||||VocaLink|2025-03-01
169677206|Cash Machine (Cardtronics)|02090141|261685|198991|1||osgb1000000335874952|12|39106947|2|24|Swansea Road|Penllergaer|Swansea|West Glamorgan|SA4 9AQ|Abertawe - Swansea||||||VocaLink|2025-03-01
167896254|Cash Machine (NoteMachine Ltd)|02090141|265694.9|193661.9|1|10010025329|osgb1000021903354|4|39101306|1|19.9|73-74|High Street|City Centre, Swansea|West Glamorgan|SA1 1LN|Abertawe - Swansea||||||VocaLink|2025-03-01
