ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|usrn|usrn_mi|distance|address_detail|street_name|locality|geographic_county|postcode|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
18317384|Penry Gospel Hall|06340459|329349|198126|1|10013482619|osgb1000027497105|3|40801377|3|11.1||||Gwent|NP4|Torfaen - Torfaen||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
18318168|Gospel Hall|06340459|332204|188476|1|10014123282|osgb1000027609262|7|27100474|3|16.5||||Gwent|NP19|Casnewydd - Newport||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
18318173|Gospel Hall|06340459|330891|189187|2||Not Assigned|0|27100933|3|5||||Gwent|NP20|Casnewydd - Newport||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
18317388|Gospel Hall|06340459|329525|194100|1|100100982039|osgb1000027491117|5|40801190|3|21.2||||Gwent|NP44|Torfaen - Torfaen||||Religion|Other (Christian)|Ordnance Survey|2025-03-01
18399586|Kingdom Hall of Jehovah's Witnesses|06340459|334715|187953|1|10010553162|osgb1000027665644|2|27101122|3|16.4||||Gwent|NP19|Casnewydd - Newport||www.jw.org/en/|Jehovah's Witnesses|Religion|Jehovah's Witnesses (Christian)|Ordnance Survey|2025-03-01
17612458|West Usk Lighthouse (Disused)|06330407|331116|182883|1|200001704372|osgb1000027566018|4|27100013|3|929.9||||Gwent|NP10|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
18317173|War Memorial|03170245|329720|187483|1|10010554021|osgb1000002022642058|2|27111743|3|66.7||||Gwent|NP20|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
18317353|War Memorial|03170245|328847|194456|2||Not Assigned|0|40804128|3|13.2||||Gwent|NP44|Torfaen - Torfaen||||||Ordnance Survey|2025-03-01
18317317|War Memorial|03170245|323403|191402|1||osgb1000002040561782|5|47501426|3|15.3||||Gwent|NP11|Caerffili - Caerphilly||||||Ordnance Survey|2025-03-01
18317116|War Memorial|03170245|329911|187744|2||Not Assigned|0|27112027|3|11.4||||Gwent|NP20|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
